"PROCESSING_CODE","POS_DATA","Transaction.Amount","Merchant.Category.Code","Response.Code","POS.Entry.Mode"
98,"100000",1519,5983,0,"???"
98,"100000",865,4899,0,"???"
98,"100000",6985.44,4900,0,"???"
98,"100000",3790,4900,0,"???"
98,"100000",150,4899,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",2037.97,9399,0,"???"
98,"100000",2037.97,9399,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",500,4899,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",77,5310,0,"???"
98,"100000",290,4899,0,"???"
98,"100000",50,5310,0,"???"
99,"100000",350,4899,0,"???"
99,"100000",22800,5411,0,"???"
99,"100000",250,4899,0,"???"
0,"1100000",110,6513,0,"???"
0,"1100000",682.5,3512,0,"???"
0,"1100000",1,7298,0,"???"
0,"1200000",6.55,5814,0,"???"
0,"10100000",89.95,7273,0,"???"
0,"10100000",300,7011,0,"???"
0,"10100000",3.99,7299,0,"???"
0,"10100000",20,7399,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",14.3,5968,100,"???"
0,"30100000",2511.04,4816,100,"???"
0,"30100000",29,7333,0,"???"
0,"30100000",39.95,5968,100,"???"
0,"30100000",2799,5968,100,"???"
0,"30100000",11.74,8699,100,"???"
0,"30100000",148.14,7399,100,"???"
0,"30100000",650,4899,0,"???"
0,"30100000",10,8299,0,"???"
0,"30100000",119,5968,100,"???"
0,"30100000",10,2741,0,"???"
0,"30100000",27,7392,0,"???"
0,"30100000",5.49,8099,100,"???"
0,"30100000",7.99,5968,100,"???"
0,"30100000",7.99,5968,100,"???"
0,"30100000",7.99,5968,100,"???"
0,"30100000",550,5734,0,"???"
0,"30100000",711,4816,100,"???"
0,"30100000",49.95,8699,0,"???"
0,"30100000",17.7,5734,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",99.99,5968,0,"???"
0,"30100000",7268,7311,0,"???"
0,"30100000",900,5968,0,"???"
0,"30100000",19.95,5192,0,"???"
0,"30100000",900,5968,0,"???"
0,"30100000",39,5734,0,"???"
0,"30100000",54640,3026,0,"???"
0,"30100000",24.99,8299,100,"???"
0,"30100000",7.08,5734,100,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",64.09,4899,0,"???"
0,"30100000",25000,5999,0,"???"
0,"30100000",25000,5999,116,"???"
0,"30100000",310.3,4814,116,"???"
0,"30100000",310.3,4814,116,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",100,5192,100,"???"
0,"30100000",98.18,7399,100,"???"
0,"30100000",98.18,7399,100,"???"
0,"30100000",98.18,7399,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",13.99,4899,0,"???"
0,"30100000",72976.14,5045,0,"???"
0,"30100000",393.54,5734,116,"???"
0,"30100000",12.99,5968,100,"???"
0,"30100000",2500,5999,0,"???"
0,"30100000",144,5968,100,"???"
0,"30100000",9345.6,5045,0,"???"
0,"30100000",147.5,5045,100,"???"
0,"30100000",147.5,5045,100,"???"
0,"30100000",147.5,5045,100,"???"
0,"30100000",147.5,5045,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",843.49,4814,116,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",1,4899,0,"???"
0,"30100000",159,4899,0,"???"
0,"30100000",9.19,4899,0,"???"
0,"30100000",16.09,4899,0,"???"
0,"30100000",1,4899,0,"???"
0,"30100000",119,5968,0,"???"
0,"30100000",945,5734,116,"???"
0,"30100000",9616.96,5999,0,"???"
0,"30100000",29,7333,116,"???"
0,"30100000",24.95,5732,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",11.99,4899,100,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",9.99,4899,116,"???"
0,"30100000",360,5968,0,"???"
0,"30100000",119,5968,100,"???"
0,"30100000",3.99,5968,100,"???"
0,"30100000",7.99,5968,100,"???"
0,"30100000",25000,5999,0,"???"
0,"30100000",64844,3075,0,"???"
0,"30100000",60,4511,0,"???"
0,"30100000",72.11,4816,100,"???"
0,"30100000",72.11,4816,100,"???"
0,"30100000",711,4816,100,"???"
0,"30100000",711,4816,100,"???"
0,"30100000",99,7333,0,"???"
0,"30100000",179.64,7216,0,"???"
0,"30100000",1.59,5968,0,"???"
0,"30100000",14.19,5968,0,"???"
0,"30100000",15,7997,100,"???"
0,"30100000",47997.81,7311,0,"???"
0,"30100000",1788.6,5045,0,"???"
0,"30100000",51.5,7392,100,"???"
0,"30100000",3096.5,4816,100,"???"
0,"30100000",1.59,5968,0,"???"
0,"30100000",7.99,4899,0,"???"
0,"30100000",89.99,5968,100,"???"
0,"30100000",89.99,5968,100,"???"
0,"30100000",796.32,4816,100,"???"
0,"30100000",5.97,5734,100,"???"
0,"30100000",10,5734,0,"???"
0,"30100000",49,7333,100,"???"
0,"30100000",260,5968,0,"???"
0,"30100000",12.09,4899,0,"???"
0,"30100000",13.77,5968,100,"???"
0,"30100000",7,5192,0,"???"
0,"30100000",1.99,5968,0,"???"
0,"30100000",12.99,5968,0,"???"
0,"30100000",17.97,5816,0,"???"
0,"30100000",2500,5999,116,"???"
0,"30100000",12,5734,116,"???"
0,"30100000",2454.71,7311,0,"???"
0,"30100000",39,5968,100,"???"
0,"30100000",1.32,7372,0,"???"
0,"30100000",1,4899,0,"???"
0,"30100000",183.94,5968,100,"???"
0,"30100000",183.94,5968,100,"???"
0,"30100000",183.94,5968,100,"???"
0,"30100000",183.94,5968,100,"???"
0,"30100000",7.99,4899,100,"???"
