"X","Merchant.Category.Code","POS.Entry.Mode","POS_DATA","PROCESSING_CODE","Response.Code","Transaction.Amount"
"0","5983",0,"000000100000",98,0,1519
"1","4899",0,"000000100000",98,0,865
"2","4900",0,"000000100000",98,0,6985.44
"3","4900",0,"000000100000",98,0,3790
"4","4899",0,"000000100000",98,0,150
"5","5310",0,"000000100000",98,0,77
"6","5310",0,"000000100000",98,0,77
"7","5310",0,"000000100000",98,0,77
"8","5310",0,"000000100000",98,0,77
"9","5310",0,"000000100000",98,0,77
"10","5310",0,"000000100000",98,0,77
"11","9399",0,"000000100000",98,0,2037.97
"12","9399",0,"000000100000",98,0,2037.97
"13","5310",0,"000000100000",98,0,77
"14","4899",0,"000000100000",98,0,500
"15","5310",0,"000000100000",98,0,77
"16","5310",0,"000000100000",98,0,77
"17","5310",0,"000000100000",98,0,77
"18","4899",0,"000000100000",98,0,290
"19","5310",0,"000000100000",98,0,50
"20","4899",0,"000000100000",99,0,350
"21","5411",0,"000000100000",99,0,22800
"22","4899",0,"000000100000",99,0,250
"23","6513",0,"000001100000",0,0,110
"24","3512",0,"000001100000",0,0,682.5
"25","7298",0,"000001100000",0,0,1
"26","5814",0,"000001200000",0,0,6.55
"27","7273",0,"000010100000",0,0,89.95
"28","7011",0,"000010100000",0,0,300
"29","7299",0,"000010100000",0,0,3.99
"30","7399",0,"000010100000",0,0,20
"31","5968",0,"000030100000",0,0,12.99
"32","5968",0,"000030100000",0,100,14.3
"33","4816",0,"000030100000",0,100,2511.04
"34","7333",0,"000030100000",0,0,29
"35","5968",0,"000030100000",0,100,39.95
"36","5968",0,"000030100000",0,100,2799
"37","8699",0,"000030100000",0,100,11.74
"38","7399",0,"000030100000",0,100,148.14
"39","4899",0,"000030100000",0,0,650
"40","8299",0,"000030100000",0,0,10
"41","5968",0,"000030100000",0,100,119
"42","2741",0,"000030100000",0,0,10
"43","7392",0,"000030100000",0,0,27
"44","8099",0,"000030100000",0,100,5.49
"45","5968",0,"000030100000",0,100,7.99
"46","5968",0,"000030100000",0,100,7.99
"47","5968",0,"000030100000",0,100,7.99
"48","5734",0,"000030100000",0,0,550
"49","4816",0,"000030100000",0,100,711
"50","8699",0,"000030100000",0,0,49.95
"51","5734",0,"000030100000",0,100,17.7
"52","5968",0,"000030100000",0,0,12.99
"53","5968",0,"000030100000",0,0,99.99
"54","7311",0,"000030100000",0,0,7268
"55","5968",0,"000030100000",0,0,900
"56","5192",0,"000030100000",0,0,19.95
"57","5968",0,"000030100000",0,0,900
"58","5734",0,"000030100000",0,0,39
"59","3026",0,"000030100000",0,0,54640
"60","8299",0,"000030100000",0,100,24.99
"61","5734",0,"000030100000",0,100,7.08
"62","5968",0,"000030100000",0,100,12.99
"63","4899",0,"000030100000",0,0,64.09
"64","5999",0,"000030100000",0,0,25000
"65","5999",0,"000030100000",0,116,25000
"66","4814",0,"000030100000",0,116,310.3
"67","4814",0,"000030100000",0,116,310.3
"68","5968",0,"000030100000",0,0,12.99
"69","5968",0,"000030100000",0,100,12.99
"70","5192",0,"000030100000",0,100,100
"71","7399",0,"000030100000",0,100,98.18
"72","7399",0,"000030100000",0,100,98.18
"73","7399",0,"000030100000",0,100,98.18
"74","5968",0,"000030100000",0,0,12.99
"75","5968",0,"000030100000",0,0,12.99
"76","4899",0,"000030100000",0,0,13.99
"77","5045",0,"000030100000",0,0,72976.14
"78","5734",0,"000030100000",0,116,393.54
"79","5968",0,"000030100000",0,100,12.99
"80","5999",0,"000030100000",0,0,2500
"81","5968",0,"000030100000",0,100,144
"82","5045",0,"000030100000",0,0,9345.6
"83","5045",0,"000030100000",0,100,147.5
"84","5045",0,"000030100000",0,100,147.5
"85","5045",0,"000030100000",0,100,147.5
"86","5045",0,"000030100000",0,100,147.5
"87","5968",0,"000030100000",0,0,12.99
"88","5968",0,"000030100000",0,0,12.99
"89","4814",0,"000030100000",0,116,843.49
"90","5968",0,"000030100000",0,0,12.99
"91","4899",0,"000030100000",0,0,1
"92","4899",0,"000030100000",0,0,159
"93","4899",0,"000030100000",0,0,9.19
"94","4899",0,"000030100000",0,0,16.09
